name,religion,dob,image_urls,political_carrer,civil_status,images,party,occupation
"Hon. Samarasinghe, Galewattegedera Wijayasiri, M.P.",, : 31-10-1916,http://parliament.lk/uploads/images/members/profile_images/thumbs/default.jpg,, : None,"[{'url': 'http://parliament.lk/uploads/images/members/profile_images/thumbs/default.jpg', 'path': 'full/4da20c63c56c84d64def278d3fe18684b51417a7.jpg', 'checksum': '16606e503b8c7b485c1bbc6e2cc7a49f'}]",Sri Lanka Freedom Party(SLFP),
"Hon. Samarasinghe, E.A., M.P.", : Buddhism, : 18-08-1940,http://parliament.lk/uploads/images/members/profile_images/thumbs/default_m.jpg,, : Married,"[{'url': 'http://parliament.lk/uploads/images/members/profile_images/thumbs/default_m.jpg', 'path': 'full/365abff7a523244325f3f6750bb8e32508622c41.jpg', 'checksum': '373f88db1277abded952ea5673d69bfe'}]",, : Attorney - at - Law.
"Hon. Samarasekara, Senapala, M.P.",, : 10-02-1919,http://parliament.lk/uploads/images/members/profile_images/thumbs/default.jpg,, : Married,"[{'url': 'http://parliament.lk/uploads/images/members/profile_images/thumbs/default.jpg', 'path': 'full/4da20c63c56c84d64def278d3fe18684b51417a7.jpg', 'checksum': '16606e503b8c7b485c1bbc6e2cc7a49f'}]",Sri Lanka Freedom Party(SLFP),
"Hon. Samarasinghe, Don Senadira, M.P.",,,http://parliament.lk/uploads/images/members/profile_images/thumbs/default.jpg,, : None,"[{'url': 'http://parliament.lk/uploads/images/members/profile_images/thumbs/default.jpg', 'path': 'full/4da20c63c56c84d64def278d3fe18684b51417a7.jpg', 'checksum': '16606e503b8c7b485c1bbc6e2cc7a49f'}]",Sri Lanka Freedom Party(SLFP),
"Hon. Samaranayake, Richard Gregory, M.P.",, : 12-11-1923,http://parliament.lk/uploads/images/members/profile_images/thumbs/default.jpg,, : Married,"[{'url': 'http://parliament.lk/uploads/images/members/profile_images/thumbs/default.jpg', 'path': 'full/4da20c63c56c84d64def278d3fe18684b51417a7.jpg', 'checksum': '16606e503b8c7b485c1bbc6e2cc7a49f'}]",Sri Lanka Freedom Party(SLFP),
"Hon. Samaranayake, Punsiri Senaraja Perera, M.P.",, : 25-07-1936,http://parliament.lk/uploads/images/members/profile_images/thumbs/2639.jpg,, : Married,"[{'url': 'http://parliament.lk/uploads/images/members/profile_images/thumbs/2639.jpg', 'path': 'full/274af8d43e5f5cf76dc7fa6e3e167ca15a5e07f7.jpg', 'checksum': '75ac887a25c8a089d0a2c0f773d3f21c'}]",United National Party (UNP),
"Hon. Samarakkody, Siripala, M.P.",,,http://parliament.lk/uploads/images/members/profile_images/thumbs/default.jpg,, : Married,"[{'url': 'http://parliament.lk/uploads/images/members/profile_images/thumbs/default.jpg', 'path': 'full/4da20c63c56c84d64def278d3fe18684b51417a7.jpg', 'checksum': '16606e503b8c7b485c1bbc6e2cc7a49f'}]",,
"Hon. Samarakkody, Stephen Walter, M.P.",, : 17-07-1919,http://parliament.lk/uploads/images/members/profile_images/thumbs/default.jpg,, : None,"[{'url': 'http://parliament.lk/uploads/images/members/profile_images/thumbs/default.jpg', 'path': 'full/4da20c63c56c84d64def278d3fe18684b51417a7.jpg', 'checksum': '16606e503b8c7b485c1bbc6e2cc7a49f'}]",Sri Lanka Freedom Party(SLFP),
"Hon. Samarakkody, Edmund Peter, M.P.",, : 19-04-1912,http://parliament.lk/uploads/images/members/profile_images/thumbs/2636.jpg,, : Married,"[{'url': 'http://parliament.lk/uploads/images/members/profile_images/thumbs/2636.jpg', 'path': 'full/bfe081c4c7541582a8f8b5351e573f744437f684.jpg', 'checksum': 'b2d59942dea180166fc6841e09717590'}]",Lanka Sama Samaja Party (LSSP),
"Hon. Saldin, Mohamed Khalid, M.P.", : Islam,,http://parliament.lk/uploads/images/members/profile_images/thumbs/default.jpg,, : Married,"[{'url': 'http://parliament.lk/uploads/images/members/profile_images/thumbs/default.jpg', 'path': 'full/4da20c63c56c84d64def278d3fe18684b51417a7.jpg', 'checksum': '16606e503b8c7b485c1bbc6e2cc7a49f'}]",,
"Hon. Sakalasuriya, Sakalasuriya Appuhamilage Sardathissa, M.P.",, : 07-07-1961,http://parliament.lk/uploads/images/members/profile_images/thumbs/2634.jpg,, : Married,"[{'url': 'http://parliament.lk/uploads/images/members/profile_images/thumbs/2634.jpg', 'path': 'full/7ef89d45a5692ec3dc451e3b96d2f7176237bff5.jpg', 'checksum': 'f03fe013a55a8e3f5680434b36e2fdc1'}]",Sri Lanka Freedom Party(SLFP),
"Hon. S.A. JAYANTHA SAMARAWEERA, M.P.,, M.P.", : Buddhism, : 20-12-1968,http://parliament.lk/uploads/images/members/profile_images/thumbs/1427.jpg,, : Married,"[{'url': 'http://parliament.lk/uploads/images/members/profile_images/thumbs/1427.jpg', 'path': 'full/54b85be62137b059b19dc5017c9b8481be6f9bb3.jpg', 'checksum': 'c569c1a5a5844f55ee8e6c20d0c1d512'}]",United People's Freedom Alliance(UPFA),
"Hon. Tutein-Nolthenius, Adrian Constant, M.P.",,,http://parliament.lk/uploads/images/members/profile_images/thumbs/default.jpg,, : None,"[{'url': 'http://parliament.lk/uploads/images/members/profile_images/thumbs/default.jpg', 'path': 'full/4da20c63c56c84d64def278d3fe18684b51417a7.jpg', 'checksum': '16606e503b8c7b485c1bbc6e2cc7a49f'}]",,
"Hon. SAJIN DE VASS GUNAWARDENA, M.P., , M.P.", : Buddhism, : 02-05-1973,http://parliament.lk/uploads/images/members/profile_images/thumbs/3169.jpg,Elected as member of the Southern Provincial Council from 2010, : Married,"[{'url': 'http://parliament.lk/uploads/images/members/profile_images/thumbs/3169.jpg', 'path': 'full/4851677a8a0a8321bb7b2f97d25312e21b6751c6.jpg', 'checksum': '6dce85d4ec862e2a0b5a256ad1dcc3f5'}]",United People's Freedom Alliance(UPFA),
"Hon. Tudawe, Balaupasakage Yasodis, M.P.",, : 25-09-1915,http://parliament.lk/uploads/images/members/profile_images/thumbs/default.jpg,, : Married,"[{'url': 'http://parliament.lk/uploads/images/members/profile_images/thumbs/default.jpg', 'path': 'full/4da20c63c56c84d64def278d3fe18684b51417a7.jpg', 'checksum': '16606e503b8c7b485c1bbc6e2cc7a49f'}]",The Ceylon Communist Party ((CCP),
"Hon. (Dr.) Saddhasena, Maduwe Hewa, M.P.",, : 13-04-1908,http://parliament.lk/uploads/images/members/profile_images/thumbs/default.jpg,, : None,"[{'url': 'http://parliament.lk/uploads/images/members/profile_images/thumbs/default.jpg', 'path': 'full/4da20c63c56c84d64def278d3fe18684b51417a7.jpg', 'checksum': '16606e503b8c7b485c1bbc6e2cc7a49f'}]",United National Party (UNP),
"Hon. Tissera, Warnakulasuriya Philip Antony Protus, M.P.",, : 11-09-1925,http://parliament.lk/uploads/images/members/profile_images/thumbs/default.jpg,, : Married,"[{'url': 'http://parliament.lk/uploads/images/members/profile_images/thumbs/default.jpg', 'path': 'full/4da20c63c56c84d64def278d3fe18684b51417a7.jpg', 'checksum': '16606e503b8c7b485c1bbc6e2cc7a49f'}]",Sri Lanka Freedom Party(SLFP),
"Hon. W.M.A. Sugath Tissera, M.P.", : Roman Catholicism, : 30-06-1964,http://parliament.lk/uploads/images/members/profile_images/thumbs/281.jpg,Member Pradeshiya Sabha;  Member Provincial  Council ., : Married,"[{'url': 'http://parliament.lk/uploads/images/members/profile_images/thumbs/281.jpg', 'path': 'full/e3340a7b3334826da9eac3e4e465f16513dcda64.jpg', 'checksum': 'dab1aa41da6f38b5a19df3fb84fbd60b'}]",United National Party (UNP), : Businessman
"Hon. Tissakutti Arachchi, Gunapala, M.P.",, : 15-12-1954,http://parliament.lk/uploads/images/members/profile_images/thumbs/2755.jpg,, : Married,"[{'url': 'http://parliament.lk/uploads/images/members/profile_images/thumbs/2755.jpg', 'path': 'full/777a32161d4986125e6a5afadfa9ce2fc19f0786.jpg', 'checksum': '575641afc230763aeaede1d2a04c4ce0'}]",United National Party (UNP),
"Hon. (Dr.) Tiruchelvam, Neelakandan, M.P.", : Hindu, : 31-01-1944,http://parliament.lk/uploads/images/members/profile_images/thumbs/default.jpg,, : Married,"[{'url': 'http://parliament.lk/uploads/images/members/profile_images/thumbs/default.jpg', 'path': 'full/4da20c63c56c84d64def278d3fe18684b51417a7.jpg', 'checksum': '16606e503b8c7b485c1bbc6e2cc7a49f'}]",Tamil United Liberation Front (TULF),
"Hon. TISSA  ATTANAYAKE, M,P.,, M.P.", : Buddhism, : 17-05-1961,http://parliament.lk/uploads/images/members/profile_images/thumbs/1246.jpg,Entered into Politics as the Secretray of as the Secretary of Ududumbara Diyababala Youth Sociaty; Active politics from 1985  to-date as a Working Committee Member of UNP Youth League., : Married,"[{'url': 'http://parliament.lk/uploads/images/members/profile_images/thumbs/1246.jpg', 'path': 'full/42be3fe91ca3c8d071d64eeee315896468ade511.jpg', 'checksum': 'b447ece5797366eb97fe0c3632c61bf6'}]",United National Party (UNP),
"Hon. TIRAN ALLES, M.P., , M.P.", : Buddhism,,http://parliament.lk/uploads/images/members/profile_images/thumbs/3205.jpg,, : Married,"[{'url': 'http://parliament.lk/uploads/images/members/profile_images/thumbs/3205.jpg', 'path': 'full/c1eca540b27f908c0538636e9ac29a643ba6c255.jpg', 'checksum': '8364be39cdcf472709515fd00e40b4a1'}]",Democratic National Alliance (DNA), : Company Chairman
"Hon. Tilakaratne, Manikralage, M.P.",,,http://parliament.lk/uploads/images/members/profile_images/thumbs/default.jpg,, : None,"[{'url': 'http://parliament.lk/uploads/images/members/profile_images/thumbs/default.jpg', 'path': 'full/4da20c63c56c84d64def278d3fe18684b51417a7.jpg', 'checksum': '16606e503b8c7b485c1bbc6e2cc7a49f'}]",United National Party (UNP),
"Hon. Tillekeratne, Wanniarachchige Don Stanley, M.P.",, : 03-08-1929,http://parliament.lk/uploads/images/members/profile_images/thumbs/2753.jpg,, : Married,"[{'url': 'http://parliament.lk/uploads/images/members/profile_images/thumbs/2753.jpg', 'path': 'full/a4b3061cdf2a895d39ab4664e855d5f019712528.jpg', 'checksum': '7af817f2e890c486ad8fd5953444f89c'}]",Sri Lanka Freedom Party(SLFP),
"Hon. Tillekeratne, Don Edwin, M.P.",, : 20-07-1920,http://parliament.lk/uploads/images/members/profile_images/thumbs/default.jpg,, : Married,"[{'url': 'http://parliament.lk/uploads/images/members/profile_images/thumbs/default.jpg', 'path': 'full/4da20c63c56c84d64def278d3fe18684b51417a7.jpg', 'checksum': '16606e503b8c7b485c1bbc6e2cc7a49f'}]",United National Party (UNP),
"Hon. Thurairatnam, Kathiripillai, M.P.", : Hindu, : 10-08-1930,http://parliament.lk/uploads/images/members/profile_images/thumbs/default.jpg,, : Married,"[{'url': 'http://parliament.lk/uploads/images/members/profile_images/thumbs/default.jpg', 'path': 'full/4da20c63c56c84d64def278d3fe18684b51417a7.jpg', 'checksum': '16606e503b8c7b485c1bbc6e2cc7a49f'}]",Tamil United Liberation Front (TULF),
"Hon. Tikir Banda, Weerakoon Mudiyanselagedera Kumbure Gedera, M.P.",, : 02-08-1922,http://parliament.lk/uploads/images/members/profile_images/thumbs/default_m.jpg,, : Married,"[{'url': 'http://parliament.lk/uploads/images/members/profile_images/thumbs/default_m.jpg', 'path': 'full/365abff7a523244325f3f6750bb8e32508622c41.jpg', 'checksum': '373f88db1277abded952ea5673d69bfe'}]",United National Party (UNP),
"Hon. Thurairasasingham, Krishnapillai, M.P.", : Hindu, : 28-07-1956,http://parliament.lk/uploads/images/members/profile_images/thumbs/default.jpg,, : Single,"[{'url': 'http://parliament.lk/uploads/images/members/profile_images/thumbs/default.jpg', 'path': 'full/4da20c63c56c84d64def278d3fe18684b51417a7.jpg', 'checksum': '16606e503b8c7b485c1bbc6e2cc7a49f'}]",Tamil United Liberation Front (TULF),
"Hon. Thaoufeek, Thideer, M.P.", : Islam, : 04-04-1958,http://parliament.lk/uploads/images/members/profile_images/thumbs/279.jpg,Working with S. L. M. C. since 1989., : Married,"[{'url': 'http://parliament.lk/uploads/images/members/profile_images/thumbs/279.jpg', 'path': 'full/80ecf7fe7d05da11ee06f0670717d91d995fa3b9.jpg', 'checksum': '2e32e168352070d5306007331287270d'}]",United National Party (UNP), : Physiotheraphist
"Hon. Thondaman, Vana Ena Kana Runa Savumiamoorthy, M.P.", : Hindu, : 30-08-1913,http://parliament.lk/uploads/images/members/profile_images/thumbs/2749.jpg,"Joined the Ceylon Indian Congress - 1939;
Elected President of the Ceylon - 1943;
Elected President of Ceylon Workers Congress  - 1953", : Widower,"[{'url': 'http://parliament.lk/uploads/images/members/profile_images/thumbs/2749.jpg', 'path': 'full/93cff8adbe980503b01ae45cca8a6eeefead0816.jpg', 'checksum': '06dc5d34c57ae4f2a3fe9ef4e0308200'}]",United National Party (UNP), : Agriculturist
"Hon. TISSA KARALLIYADDA, M.P.,, M.P.", : Buddhism, : 10-05-1952,http://parliament.lk/uploads/images/members/profile_images/thumbs/70.jpg,"1971 - 1974 Private Secretary to the Minister of Irrigation, Power & Highway; Participated in the S. L. F. P. Provincial Affairs in the Medawachchiya Electorate.", : Married,"[{'url': 'http://parliament.lk/uploads/images/members/profile_images/thumbs/70.jpg', 'path': 'full/ad9260446d6cc4bed69c6f6169c945402f1385dd.jpg', 'checksum': '925870e12b2de42308b37c16657f446e'}]",United People's Freedom Alliance(UPFA), : Agriculturist
"Hon. Thiviyanathan, Jeyaratnam, M.P.", : Roman Catholicism, : 20-04-1952,http://parliament.lk/uploads/images/members/profile_images/thumbs/default.jpg,, : Married,"[{'url': 'http://parliament.lk/uploads/images/members/profile_images/thumbs/default.jpg', 'path': 'full/4da20c63c56c84d64def278d3fe18684b51417a7.jpg', 'checksum': '16606e503b8c7b485c1bbc6e2cc7a49f'}]",Tamil United Liberation Front (TULF),
"Hon. Thirunavukarasu, Thamodarampillai, M.P.", : Hindu, : 01-09-1933,http://parliament.lk/uploads/images/members/profile_images/thumbs/default.jpg,, : Married,"[{'url': 'http://parliament.lk/uploads/images/members/profile_images/thumbs/default.jpg', 'path': 'full/4da20c63c56c84d64def278d3fe18684b51417a7.jpg', 'checksum': '16606e503b8c7b485c1bbc6e2cc7a49f'}]",Tamil United Liberation Front (TULF),
"Hon. Thillainathan, K., M.P.",,,http://parliament.lk/uploads/images/members/profile_images/thumbs/default.jpg,, : None,"[{'url': 'http://parliament.lk/uploads/images/members/profile_images/thumbs/default.jpg', 'path': 'full/4da20c63c56c84d64def278d3fe18684b51417a7.jpg', 'checksum': '16606e503b8c7b485c1bbc6e2cc7a49f'}]",Independent (Ind),
"Hon. Gamini Thilakasiri, Andarage Don, M.P.",,,http://parliament.lk/uploads/images/members/profile_images/thumbs/default.jpg,, : None,"[{'url': 'http://parliament.lk/uploads/images/members/profile_images/thumbs/default.jpg', 'path': 'full/4da20c63c56c84d64def278d3fe18684b51417a7.jpg', 'checksum': '16606e503b8c7b485c1bbc6e2cc7a49f'}]",,
"Hon. Thilakasekara, Ryter, M.P.",, : 01-07-1936,http://parliament.lk/uploads/images/members/profile_images/thumbs/default.jpg,, : None,"[{'url': 'http://parliament.lk/uploads/images/members/profile_images/thumbs/default.jpg', 'path': 'full/4da20c63c56c84d64def278d3fe18684b51417a7.jpg', 'checksum': '16606e503b8c7b485c1bbc6e2cc7a49f'}]",United National Party (UNP),
"Hon. Thewarapperuma, Thewarapperuma Arachchilage Karunasinghe, M.P.",, : 15-01-1951,http://parliament.lk/uploads/images/members/profile_images/thumbs/230.jpg,-, : Married,"[{'url': 'http://parliament.lk/uploads/images/members/profile_images/thumbs/230.jpg', 'path': 'full/a830e3bcea9fb4ac3f3b8fde5f50dc8a0feac362.jpg', 'checksum': '66416c86d48216b7ec44ae655abb6c9e'}]",People's Alliance (PA),
"Hon. Thiagarajah, Arumugam, M.P.",, : 17-04-1916,http://parliament.lk/uploads/images/members/profile_images/thumbs/default.jpg,, : Married,"[{'url': 'http://parliament.lk/uploads/images/members/profile_images/thumbs/default.jpg', 'path': 'full/4da20c63c56c84d64def278d3fe18684b51417a7.jpg', 'checksum': '16606e503b8c7b485c1bbc6e2cc7a49f'}]",Tamil Congress (TC),
"Hon. Themis, Manuel Savariyappa, M.P.",,,http://parliament.lk/uploads/images/members/profile_images/thumbs/2743.jpg,, : None,"[{'url': 'http://parliament.lk/uploads/images/members/profile_images/thumbs/2743.jpg', 'path': 'full/9f9f8743ce40da7cab075d0dd33449f8037aa596.jpg', 'checksum': '4be69c83e382be6b1ef325712bb276b3'}]",Sri Lanka Freedom Party(SLFP),
"Hon. Thavarajah, Sinnadurai, M.P.", : Hindu, : 20-01-1952,http://parliament.lk/uploads/images/members/profile_images/thumbs/2982.jpg,, : Married,"[{'url': 'http://parliament.lk/uploads/images/members/profile_images/thumbs/2982.jpg', 'path': 'full/821aaba83c81b378e0cd0aa19ea51f716482d300.jpg', 'checksum': '2e9c57d8973166632d0f96d2c5cb612f'}]",Eelam  People's Democratic Party (EPDP),
"Hon. Thangavel, Sinniah, M.P.", : Hindu, : 18-07-1968,http://parliament.lk/uploads/images/members/profile_images/thumbs/default_m.jpg,, : Single,"[{'url': 'http://parliament.lk/uploads/images/members/profile_images/thumbs/default_m.jpg', 'path': 'full/365abff7a523244325f3f6750bb8e32508622c41.jpg', 'checksum': '373f88db1277abded952ea5673d69bfe'}]",Independent 2-J (Ind),
"Hon. Thangavadivel, Thambirajah, M.P.", : Hindu, : 28-02-1941,http://parliament.lk/uploads/images/members/profile_images/thumbs/default_m.jpg,-, : Single,"[{'url': 'http://parliament.lk/uploads/images/members/profile_images/thumbs/default_m.jpg', 'path': 'full/365abff7a523244325f3f6750bb8e32508622c41.jpg', 'checksum': '373f88db1277abded952ea5673d69bfe'}]",Tamil United Liberation Front (TULF), : Land Use Officer.
"Hon. Thangathurai, Arunasalam, M.P.", : Hindu, : 17-01-1936,http://parliament.lk/uploads/images/members/profile_images/thumbs/default.jpg,, : Married,"[{'url': 'http://parliament.lk/uploads/images/members/profile_images/thumbs/default.jpg', 'path': 'full/4da20c63c56c84d64def278d3fe18684b51417a7.jpg', 'checksum': '16606e503b8c7b485c1bbc6e2cc7a49f'}]",Tamil United Liberation Front (TULF),
"Hon. Thambugala, Thambugala Athukoralalage Sumanatissa, M.P.",,,http://parliament.lk/uploads/images/members/profile_images/thumbs/default.jpg,, : None,"[{'url': 'http://parliament.lk/uploads/images/members/profile_images/thumbs/default.jpg', 'path': 'full/4da20c63c56c84d64def278d3fe18684b51417a7.jpg', 'checksum': '16606e503b8c7b485c1bbc6e2cc7a49f'}]",,
"Hon. Thambirajah, Somasuntheram, M.P.",, : 10-11-1917,http://parliament.lk/uploads/images/members/profile_images/thumbs/default_m.jpg,, : Married,"[{'url': 'http://parliament.lk/uploads/images/members/profile_images/thumbs/default_m.jpg', 'path': 'full/365abff7a523244325f3f6750bb8e32508622c41.jpg', 'checksum': '373f88db1277abded952ea5673d69bfe'}]",United National Party (UNP),
"Hon. Thambiayah, Alfred Leo, M.P.",, : 08-11-1903,http://parliament.lk/uploads/images/members/profile_images/thumbs/default.jpg,, : Married,"[{'url': 'http://parliament.lk/uploads/images/members/profile_images/thumbs/default.jpg', 'path': 'full/4da20c63c56c84d64def278d3fe18684b51417a7.jpg', 'checksum': '16606e503b8c7b485c1bbc6e2cc7a49f'}]",Tamil Congress (TC),
"Hon. Tennekoon, Roland Stephen, M.P.",,,http://parliament.lk/uploads/images/members/profile_images/thumbs/default.jpg,, : Married,"[{'url': 'http://parliament.lk/uploads/images/members/profile_images/thumbs/default.jpg', 'path': 'full/4da20c63c56c84d64def278d3fe18684b51417a7.jpg', 'checksum': '16606e503b8c7b485c1bbc6e2cc7a49f'}]",LabourParty (LP),
"Hon. Tennekoon, Tikiri Banda, M.P.",, : 26-03-1912,http://parliament.lk/uploads/images/members/profile_images/thumbs/2733.jpg,, : Married,"[{'url': 'http://parliament.lk/uploads/images/members/profile_images/thumbs/2733.jpg', 'path': 'full/8c5d5b2cde279e3ff1e1852ff6d54f44fd09d2a1.jpg', 'checksum': '06f8a6237d36adf3464c91a8dda0ec11'}]",Sri Lanka Freedom Party(SLFP),
"Hon. Tennekoon, Reginald Wilfred, M.P.",, : 31-12-1912,http://parliament.lk/uploads/images/members/profile_images/thumbs/default.jpg,, : None,"[{'url': 'http://parliament.lk/uploads/images/members/profile_images/thumbs/default.jpg', 'path': 'full/4da20c63c56c84d64def278d3fe18684b51417a7.jpg', 'checksum': '16606e503b8c7b485c1bbc6e2cc7a49f'}]",United National Party (UNP),
"Hon. Tennekoon, Ran Banda, M.P.",,,http://parliament.lk/uploads/images/members/profile_images/thumbs/default.jpg,, : None,"[{'url': 'http://parliament.lk/uploads/images/members/profile_images/thumbs/default.jpg', 'path': 'full/4da20c63c56c84d64def278d3fe18684b51417a7.jpg', 'checksum': '16606e503b8c7b485c1bbc6e2cc7a49f'}]",Sri Lanka Freedom Party(SLFP),
"Hon. Tennekoon, Pathiraja Mudiyanselage Kapuruhamy, M.P.",, : 16-05-1917,http://parliament.lk/uploads/images/members/profile_images/thumbs/default.jpg,, : Married,"[{'url': 'http://parliament.lk/uploads/images/members/profile_images/thumbs/default.jpg', 'path': 'full/4da20c63c56c84d64def278d3fe18684b51417a7.jpg', 'checksum': '16606e503b8c7b485c1bbc6e2cc7a49f'}]",Sri Lanka Freedom Party(SLFP),
"Hon. Tenne, Henry Bernard, M.P.",, : 11-08-1894,http://parliament.lk/uploads/images/members/profile_images/thumbs/default.jpg,, : None,"[{'url': 'http://parliament.lk/uploads/images/members/profile_images/thumbs/default.jpg', 'path': 'full/4da20c63c56c84d64def278d3fe18684b51417a7.jpg', 'checksum': '16606e503b8c7b485c1bbc6e2cc7a49f'}]",Sri Lanka Freedom Party(SLFP),
"Hon. Tennakoon, Thilina Bandara, M.P.",, : 07-07-1967,http://parliament.lk/uploads/images/members/profile_images/thumbs/282.jpg,Chairman of the Pradeshiya Sabhava - 1997  ; Member of the Central Provincial Council - 1999.;  Served as a minister of the Central Provincial Council - 1999., : Married,"[{'url': 'http://parliament.lk/uploads/images/members/profile_images/thumbs/282.jpg', 'path': 'full/a698d3f2578ce943a2b964b3d3bf197a46bd4fc4.jpg', 'checksum': '3aca2c398785ff3c0e5607d76c0bb5f3'}]",People's Alliance (PA),
"Hon. Tennakoon, Yasaratne Bandara, M.P.", : Buddhism, : 14-02-1938,http://parliament.lk/uploads/images/members/profile_images/thumbs/2734.jpg,Councillor of the Kandy Municipal Council from 1979 - 1989; SLFP Candidate for  the Medirigiriya Electorate in 1977;, : Married,"[{'url': 'http://parliament.lk/uploads/images/members/profile_images/thumbs/2734.jpg', 'path': 'full/a6f2f9016e7cfc5006dce869a36f307910e9111e.jpg', 'checksum': '7f8fd17e30429cf56681c7a769f294de'}]",Sri Lanka Freedom Party(SLFP), : Journalist
"Hon. Tennakoon, Piyasena, M.P.",, : 03-06-1917,http://parliament.lk/uploads/images/members/profile_images/thumbs/2732.jpg,, : Married,"[{'url': 'http://parliament.lk/uploads/images/members/profile_images/thumbs/2732.jpg', 'path': 'full/b2752abc24a6eaab42d8572234d435b3d39047dd.jpg', 'checksum': '0387f24aaeedfc682c765032425ad833'}]",Sri Lanka Freedom Party(SLFP),
"Hon. Tennakoon, Mudiyanse, M.P.",, : 16-06-1934,http://parliament.lk/uploads/images/members/profile_images/thumbs/2731.jpg,, : None,"[{'url': 'http://parliament.lk/uploads/images/members/profile_images/thumbs/2731.jpg', 'path': 'full/d7b7da6043ef3745d17a8b12c6707d419c7feb3f.jpg', 'checksum': 'c074df97c473001da41b1b1fa7da92c2'}]",Independent (Ind),
"Hon. Tambimuttu, Samuel Pennington Thavarasa, M.P.",,,http://parliament.lk/uploads/images/members/profile_images/thumbs/default.jpg,, : None,"[{'url': 'http://parliament.lk/uploads/images/members/profile_images/thumbs/default.jpg', 'path': 'full/4da20c63c56c84d64def278d3fe18684b51417a7.jpg', 'checksum': '16606e503b8c7b485c1bbc6e2cc7a49f'}]",Tamil United Liberation Front (TULF),
"Hon. Tambimuttu, Emmanuel Rasanayagam, M.P.",,,http://parliament.lk/uploads/images/members/profile_images/thumbs/default.jpg,, : None,"[{'url': 'http://parliament.lk/uploads/images/members/profile_images/thumbs/default.jpg', 'path': 'full/4da20c63c56c84d64def278d3fe18684b51417a7.jpg', 'checksum': '16606e503b8c7b485c1bbc6e2cc7a49f'}]",,
"Hon. (Prof.) TISSA  VITARANA, M.P.,, M.P.", : Buddhism, : 30-08-1934,http://parliament.lk/uploads/images/members/profile_images/thumbs/1488.jpg,Parliamentary Member of LSSP since 1974;, : Married,"[{'url': 'http://parliament.lk/uploads/images/members/profile_images/thumbs/1488.jpg', 'path': 'full/19d11d54804572b28d4164fa3ec6c74a36bc954c.jpg', 'checksum': '6e11726c89091d20015e0c25bb7f932d'}]",United People's Freedom Alliance(UPFA), : Medical Practitioner; Academician
"Hon. Unantenne, Punchi Banda, M.P.",, : 13-09-1913,http://parliament.lk/uploads/images/members/profile_images/thumbs/default.jpg,, : Married,"[{'url': 'http://parliament.lk/uploads/images/members/profile_images/thumbs/default.jpg', 'path': 'full/4da20c63c56c84d64def278d3fe18684b51417a7.jpg', 'checksum': '16606e503b8c7b485c1bbc6e2cc7a49f'}]",Sri Lanka Freedom Party(SLFP),
"Hon. HUNAIS FAROOK, M.P.,, M.P.", : Islam, : 15-03-1973,http://parliament.lk/uploads/images/members/profile_images/thumbs/3150.jpg,, : Married,"[{'url': 'http://parliament.lk/uploads/images/members/profile_images/thumbs/3150.jpg', 'path': 'full/e8555afc8a5835bfc83e39247891658b42da5e70.jpg', 'checksum': '20a2accd6a58d05c6bd238efa71fc371'}]",United People's Freedom Alliance(UPFA), : Attorney-at-Law
"Hon. Unamboowe, Ukku Banda, M.P.",,,http://parliament.lk/uploads/images/members/profile_images/thumbs/default.jpg,, : Married,"[{'url': 'http://parliament.lk/uploads/images/members/profile_images/thumbs/default.jpg', 'path': 'full/4da20c63c56c84d64def278d3fe18684b51417a7.jpg', 'checksum': '16606e503b8c7b485c1bbc6e2cc7a49f'}]",United National Party (UNP),
"Hon. Udugama, Alexander Richard (Major-General), M.P.",, : 11-11-1911,http://parliament.lk/uploads/images/members/profile_images/thumbs/default.jpg,, : Married,"[{'url': 'http://parliament.lk/uploads/images/members/profile_images/thumbs/default.jpg', 'path': 'full/4da20c63c56c84d64def278d3fe18684b51417a7.jpg', 'checksum': '16606e503b8c7b485c1bbc6e2cc7a49f'}]",Sri Lanka Freedom Party(SLFP),
"Hon. Udayaratne, Wickrematilleke Wedaarachchilage Godfrey Wasantha, M.P.",, : 22-01-1933,http://parliament.lk/uploads/images/members/profile_images/thumbs/default.jpg,, : Married,"[{'url': 'http://parliament.lk/uploads/images/members/profile_images/thumbs/default.jpg', 'path': 'full/4da20c63c56c84d64def278d3fe18684b51417a7.jpg', 'checksum': '16606e503b8c7b485c1bbc6e2cc7a49f'}]",United National Party (UNP),
"Hon. VINAYAGAMOORTHI MURALIDARAN, M.P.,, M.P.",,,http://parliament.lk/uploads/images/members/profile_images/thumbs/1586.jpg,, : Married,"[{'url': 'http://parliament.lk/uploads/images/members/profile_images/thumbs/1586.jpg', 'path': 'full/44ea9b06afa7d0ff353c09e768b36271cf1d4da5.jpg', 'checksum': '2fa0c0e1f3f3fabd775ec083662b9188'}]",United People's Freedom Alliance(UPFA),
"Hon. UDITH LOKUBANDARA, M.P.,, M.P.", : Buddhism, : 19-12-1984,http://parliament.lk/uploads/images/members/profile_images/thumbs/3159.jpg,, : Married,"[{'url': 'http://parliament.lk/uploads/images/members/profile_images/thumbs/3159.jpg', 'path': 'full/bf7f941d41bc7a1b7312088723034c2e778c3524.jpg', 'checksum': '0bc93e16a326a03f830ade0ea98612d6'}]",United People's Freedom Alliance(UPFA),
